student_id,semester,fee_submission_date,fee_amount
13,5,2023-04-30,3103
28,7,2022-11-17,1172
60,7,2023-06-16,4274
26,1,2023-02-15,2717
100,6,2023-03-24,3846
86,4,2022-05-26,3621
89,6,2022-03-31,2739
8,2,2022-01-09,2267
49,3,2023-03-17,4786
88,1,2022-01-22,3393
36,1,2022-11-08,4192
10,1,2022-06-02,1769
53,7,2022-07-30,3008
39,4,2023-02-23,2274
19,8,2023-08-02,1360
48,2,2023-03-29,3049
18,2,2022-06-25,4836
13,3,2022-09-03,3663
50,4,2022-07-26,1469
21,5,2022-05-04,1261
62,5,2022-10-23,4215
73,8,2023-03-04,2387
58,4,2022-05-12,3211
50,8,2022-10-01,4214
39,4,2022-05-01,3785
2,1,2022-08-15,2694
19,6,2023-01-17,4927
23,2,2022-08-06,4062
6,8,2023-11-30,1201
64,8,2022-12-13,1164
57,5,2022-05-12,2384
96,7,2022-02-14,4145
68,6,2022-11-20,4619
51,5,2022-01-24,4722
19,7,2022-01-22,2294
83,6,2022-01-02,4476
100,7,2023-07-31,1844
34,6,2022-10-08,4467
75,6,2023-05-22,2605
96,5,2022-03-21,1107
72,6,2023-02-22,2205
72,5,2022-04-16,1624
2,4,2023-10-15,2775
88,3,2022-08-18,2982
86,3,2022-01-10,1250
68,7,2023-11-03,3373
99,3,2022-03-22,1880
92,6,2022-02-22,1128
51,5,2023-05-05,2233
77,1,2023-01-02,2319
35,2,2023-05-07,4725
31,2,2022-12-09,4422
1,8,2022-04-13,1071
40,1,2022-04-18,4409
73,1,2022-09-04,2092
30,7,2023-12-07,2849
77,5,2023-01-04,2348
82,2,2022-01-20,3195
80,5,2023-10-09,1151
80,2,2022-05-14,1066
90,8,2023-05-06,3129
2,3,2022-08-03,2257
57,1,2023-11-13,4603
100,8,2023-11-28,2048
2,8,2022-05-13,2464
73,2,2022-03-10,2647
28,5,2022-07-11,4741
52,1,2023-11-29,2740
68,6,2022-10-31,2853
39,2,2023-06-23,2181
48,5,2023-01-19,3026
68,5,2023-05-16,1950
53,7,2022-01-06,1081
18,4,2023-05-31,2013
79,2,2022-10-10,4547
19,7,2022-09-05,4329
64,8,2023-02-26,1309
23,7,2023-05-31,1660
40,6,2022-06-12,2790
15,1,2022-03-09,3406
21,5,2023-05-14,1508
56,5,2022-10-17,2343
9,1,2023-10-14,3950
41,8,2023-06-06,3802
42,2,2023-12-15,3462
1,2,2023-08-31,3826
4,7,2022-03-28,4172
5,3,2022-03-16,1887
78,8,2022-02-15,1616
77,5,2023-08-09,1659
14,2,2023-08-27,4000
67,7,2022-07-25,2419
36,5,2022-12-03,4399
88,7,2022-03-12,4285
72,7,2023-01-05,4129
83,5,2022-10-06,4639
68,1,2023-01-25,1583
37,4,2022-10-16,4580
92,4,2022-07-11,1317
11,1,2023-06-24,3407
9,7,2023-03-07,3579
28,3,2023-11-25,2299
6,7,2023-07-23,3391
59,2,2023-02-18,3880
29,6,2023-02-14,3854
29,7,2022-07-17,1148
